cross,percentage
FME.DE,0.108498
PETM,0.09091
RB.L,0.076221
ABF.L,0.064646
RRS.L,0.057033
BAB.L,0.044578
TT.L,0.039055
LMT,0.038745
NG.L,0.030338
IMT.L,0.030304
GSK.L,0.027893
CPI.L,0.027621
SHP.L,0.027535
CHKP,0.025362
SSE.L,0.022379
MT.PA,0.021293
TATE.L,0.020211
NFLX,0.019828
CNA.L,0.018658
BIDU,0.0166
MRW.L,0.016384
BATS.L,0.015676
FRE.DE,0.014593
ULVR.L,0.013724
AMGN,0.013571
TWTR,0.013269
ORA.PA,0.011191
DGE.L,0.011009
TRIP,0.010354
MKS.L,0.009034
EI.PA,0.007635
LNKD,0.006599
PSON.L,0.006365
MRK.DE,0.00612
AGNC,0.00498
CCH.L,0.004891
RMG.L,0.004508
SVT.L,0.004132
VOD.L,0.004068
UU.L,0.004012
GFS.L,0.003056
ATVI,0.00265
FR.PA,0.001895
KING,0.001463
SPD.L,0.000444
BABA,0.000255
AHT.L,0.000232
GLEN.L,0.000178
VOW3.DE,0.000006
